key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
26,1,8,48,20,True,8664693,8664770,69628,0,0,0,"Dämonid Belias","Die Jünger, eine ketzerische Randgruppe der IV. Legion, haben ihr Leben riskiert und die Macht eines Auracitensplitters entfesselt. Lösche den Herrscher über die lodernden Flammenmeere umgehend aus!",0,0,0,0,0,0
27,3,1,48,20,True,8664694,8664771,69629,0,0,0,"Die Gepanzerte Zenturie","Magitechnicus Sicinius hat eine neue Kampfeinheit ins Feld geschickt. Schicke sie gleich weiter auf den Schrottplatz!",0,0,0,0,0,0
28,1,4,48,20,True,8664695,8664772,69629,0,0,0,"Alkonost, schrecklich und gefiedert","Der Bestientrupp hat in Zusammenarbeit mit dem Spezialbataillon Alkonost, einen mythischen Vogel von schrecklicher Gestalt, entfesselt. Rupf die Bestie!",0,0,0,0,0,0
29,1,8,48,20,True,8664696,8664773,69620,0,0,0,"Hashmallim der Einiger","Die Jünger, eine ketzerische Randgruppe der IV. Legion, haben ihr Leben riskiert und die Macht eines Auracitensplitters entfesselt. Besiege den Einiger, der nicht sein darf!",0,0,0,0,0,0
30,1,2,48,20,True,8664697,8664774,69629,0,0,0,"Regenbogenschlange Ayida","Eifrige Magier des Spezialbataillons haben eine neue Kreatur beschworen. Bereite dem schillernden Wesen ein farbloses Ende!",0,0,0,0,0,0
31,2,3,1,20,True,8664698,8664775,69629,0,6,0,"Revanche: Lyon der Bestienkönig","Der Anführer des Bestientrupps würde nichts lieber tun, als dich zu zähmen. Nimm die Herausforderung an und beweise ihm deine Wildheit!",0,0,0,0,0,0
32,4,6,48,20,True,0,0,69624,5,0,9678,"Sturm auf die Dalriada","Das Flaggschiff liegt antriebslos am Boden. Einen besseren Moment, in sein Inneres einzudringen und mit der Führung der IV. Legion aufzuräumen, wird es nicht geben.",222,302,-661,0,0,0
33,1,4,72,20,True,10962704,0,0,0,0,0,"Die Geißel des Geistes","Nichts mundet dem Gedankenschinder so sehr wie ein saftiges Gehirn. Und natürlich dürstet es dem Monstrum ganz besonders nach deinem Verstand!",0,0,0,0,0,0
34,3,4,72,20,True,10940977,0,0,0,0,0,"Das schwarze Regiment","Eine Herde schwarzer Chocobos meint, die Insel gehöre ihnen ganz allein. Stutze ihnen das Gefieder und weise sie in ihre Schranken!",0,0,0,0,0,0
35,1,4,72,20,True,10962716,0,0,0,0,0,"Zorn auf zwei Beinen","Ein magischer Homunculus, der zwar keine Seele hat, aber dafür umso mehr Zorn, wütet über Kreszentia. Halte ihn auf, bevor er alles in Schutt und Asche legt!",0,0,0,0,0,0
36,1,4,72,20,True,10940989,0,0,0,0,0,"Das messerscharfe Schicksal","Verbotene Magie brachte diesen untoten Unhold hervor, der den Lebenden nun nach besagtem Leben trachtet. Bringe die Todesklaue zur Strecke.",0,0,0,0,0,0
37,1,4,72,20,True,10941018,0,0,0,0,0,"Das versiegelte Unheil","Einst versiegelt vom Herren der Insel, kehrt der Klosterdämon nun aus dem Nichts zurück, um eben diesen Bann zu brechen. Kümmere dich um das Siegel, bevor es zu spät ist.",0,0,0,0,0,0
38,1,4,72,20,True,10962728,0,0,0,0,0,"Tödliche Schönheit","Ein Familiar des Herren der Insel scheint dein Kampfgeschick auf die Probe stellen zu wollen. Kannst du es mit dem majestätischen Kristalldrachen aufnehmen?",0,0,0,0,0,0
39,1,4,72,20,True,10937430,0,0,0,0,0,"Von uralten Magien","Diese ominöse Tongestalt ist von Kopf bis Fuß mit magischem Talent getränkt. Wird es dir gelingen, dem mystischen Idol die Stirn zu bieten?",0,0,0,0,0,0
40,3,4,72,20,True,11131960,0,0,0,0,0,"Die steinerne Staffel","Ein ganzer Trupp aus steinernen Rittern stellt sich dir in den Weg, um ihre Heimstätte zu verteidigen. Wirst du aus diesem kalten Kräftemessen als Sieger hervorgehen?",0,0,0,0,0,0
41,1,4,72,20,True,11102245,0,0,0,0,0,"Jäger aus alten Legenden","In Nym erzählte man sich Legenden über eine Kreatur, die halb Zweibeiner, halb Haifisch sein soll. Kreszentia lässt diese Legende nun ganz offensichtlich Wirklichkeit werden.",0,0,0,0,0,0
42,1,4,72,20,True,10937461,0,0,0,0,0,"Gefürchtetes Gebrüll","Mächtige Weißmagie erfüllt diesen steinernen Löwen, dessen Gebrüll durch die Ruinen dröhnt. Bring ihn zum Schweigen!",0,0,0,0,0,0
43,1,4,72,20,True,11102367,0,0,0,0,0,"Mit absoluter Sicherheit","Die Pflicht ruft, und diese steinernen Streiter sorgen sich damals wie heute um die Sicherheit ihrer Heimat. Dich haben sie dummerweise als Eindringling identifiziert.",0,0,0,0,0,0
44,1,4,72,20,True,10941033,0,0,0,0,0,"Keine Gnade dem Gefieder","Das Geplapper der Schnatterer hallt über ganz Kreszentia, was eine noch viel furchterregendere Bestie geweckt hat. Erlege sie, ehe alle Vögel ihr Leben lassen müssen.",0,0,0,0,0,0
45,1,4,72,20,True,10962741,0,0,0,0,0,"Das Feilschen ums Verfluchte","Der Geschäftssinn dieser kuriosen Schildkröte ist brandgefährlich - nicht zuletzt, weil ihre Waren hochgradig verflucht sind. Gebiete diesem merkantilen Treiben Einhalt!",0,0,0,0,0,0
46,1,4,72,20,True,10937473,0,0,0,0,0,"Ausgebessert und verbessert","Diese Statue diente schon zu Zeiten des Krieges der Magi und scheint besagten Dienst noch lange nicht niederlegen zu wollen. Widersetze dich diesem alten Bollwerk!",0,0,0,0,0,0
47,1,4,72,20,True,10962753,0,0,0,0,0,"Das finsterste Feuer","Ein dämonischer Geist, der Besitz von einer alten Vogelstatue ergreift, ist ein astreines Rezept für Desaster. Kümmere dich darum, ehe die ganze Insel in Flammen steht.",0,0,0,0,0,0
48,4,6,48,30,False,0,0,70853,0,0,0,"Der Turm des Blutes","Im Süden Kreszentias flackert ein unheilvoller Turm am Horizont. Finden sich hoch oben auf seiner Spitze die Antworten, nach denen du schon so lange suchst?",63,126,4,63978,63978,0
49,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
50,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
51,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
52,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
53,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
54,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
55,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
56,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
57,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
58,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
59,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
60,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
61,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
62,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
63,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
64,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
65,0,0,0,0,False,0,0,0,0,0,0,"","",0,0,0,0,0,0
