key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
20,True,2,3,201,230906,0,32,32,"Marodeur",1,2,3,0,0,255,255,255,255,255,False,False,-1
21,True,2,4,204,230907,0,32,32,"Pikenier",1,2,3,0,0,255,255,255,255,255,False,False,-1
22,True,2,5,206,230908,0,32,32,"Waldläufer",1,2,3,0,0,255,255,255,255,255,False,False,-1
23,True,2,6,202,230909,0,32,32,"Druide",1,2,3,0,0,255,255,255,255,255,False,False,-1
24,True,2,7,207,230910,0,32,32,"Thaumaturg",1,2,3,0,0,255,255,255,255,255,False,False,-1
25,True,2,26,208,230929,0,32,32,"Hermetiker",1,2,3,0,0,255,255,255,255,255,False,False,-1
26,True,2,29,205,230932,0,32,32,"Schurke",1,2,3,0,0,255,255,255,255,255,False,False,-1
27,True,2,19,20,230922,0,32,32,"Paladin",1,2,3,0,0,255,255,255,255,255,False,False,-1
28,True,2,20,40,230923,0,32,32,"Mönch",1,2,3,0,0,255,255,255,255,255,False,False,-1
29,True,2,21,21,230924,0,32,32,"Krieger",1,2,3,0,0,255,255,255,255,255,False,False,-1
30,True,2,22,41,230925,0,32,32,"Dragoon",1,2,3,0,0,255,255,255,255,255,False,False,-1
31,True,2,23,50,230926,0,32,32,"Barde",1,2,3,0,0,255,255,255,255,255,False,False,-1
32,True,2,24,30,230927,0,32,32,"Weißmagier",1,2,3,0,0,255,255,255,255,255,False,False,-1
33,True,2,25,60,230928,0,32,32,"Schwarzmagier",1,2,3,0,0,255,255,255,255,255,False,False,-1
34,True,2,27,61,230930,0,32,32,"Beschwörer",1,2,3,0,0,255,255,255,255,255,False,False,-1
35,True,2,28,31,230931,0,32,32,"Gelehrter",1,2,3,0,0,255,255,255,255,255,False,False,-1
36,True,2,30,42,230933,0,32,32,"Ninja",1,2,3,0,0,255,255,255,255,255,False,False,-1
37,True,2,31,51,230934,0,32,32,"Maschinist",1,2,3,0,0,255,255,255,255,255,False,False,-1
38,True,2,32,22,230935,0,32,32,"Dunkelritter",1,2,3,0,0,255,255,255,255,255,False,False,-1
39,True,2,33,32,230936,0,32,32,"Astrologe",1,2,3,0,0,255,255,255,255,255,False,False,-1
40,True,2,34,43,230937,0,32,32,"Samurai",1,2,3,0,0,255,255,255,255,255,False,False,-1
41,True,2,35,62,230938,0,32,32,"Rotmagier",1,2,3,0,0,255,255,255,255,255,False,False,-1
42,True,2,36,70,230939,0,32,32,"Blaumagier",1,2,3,0,0,255,255,255,255,255,False,False,-1
43,True,2,37,23,230940,0,32,32,"Revolverklinge",1,2,3,0,0,255,255,255,255,255,False,False,-1
44,True,2,38,52,230941,0,32,32,"Tänzer",1,2,3,0,0,255,255,255,255,255,False,False,-1
45,True,2,39,44,230942,0,32,32,"Schnitter",1,2,3,0,0,255,255,255,255,255,False,False,-1
46,True,2,40,33,230943,0,32,32,"Weiser",1,2,3,0,0,255,255,255,255,255,False,False,-1
47,True,2,0,1,230901,0,32,32,"Verteidiger",1,2,3,0,0,255,255,255,255,255,False,False,-1
48,True,2,0,2,230946,0,32,32,"Verteidiger 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
49,True,2,0,3,230947,0,32,32,"Verteidiger 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
50,True,2,0,4,230902,0,32,32,"Heiler",1,2,3,0,0,255,255,255,255,255,False,False,-1
51,True,2,0,5,230948,0,32,32,"Heiler 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
52,True,2,0,6,230949,0,32,32,"Heiler 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
53,True,2,0,9,230903,0,32,32,"Angreifer",1,2,3,0,0,255,255,255,255,255,False,False,-1
54,True,2,0,10,230950,230955,32,32,"Angreifer 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
55,True,2,0,11,230951,230956,32,32,"Angreifer 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
56,True,2,0,12,230952,230958,32,32,"Angreifer 3",1,2,3,0,0,255,255,255,255,255,False,False,-1
57,True,2,0,13,230953,230959,32,32,"Angreifer 4",1,2,3,0,0,255,255,255,255,255,False,False,-1
58,False,2,0,999,230900,0,32,32,"DPS5",1,2,3,0,0,255,255,255,255,255,False,False,-1
59,False,2,0,999,230900,0,32,32,"DPS6",1,2,3,0,0,255,255,255,255,255,False,False,-1
60,True,3,0,1,240101,0,64,64,"Gegner (klein)",1,2,3,0,0,255,255,255,255,255,False,True,-1
61,False,3,0,999,61707,0,64,64,"エネミー小2",1,2,3,0,0,255,255,255,255,255,True,True,-1
62,True,3,0,3,240102,0,64,64,"Gegner (mittel)",1,2,3,0,0,255,255,255,255,255,False,True,-1
63,False,3,0,999,61712,0,64,64,"エネミー中2",1,2,3,0,0,255,255,255,255,255,True,True,-1
64,True,3,0,5,240103,0,64,64,"Gegner (groß)",1,2,3,0,0,255,255,255,255,255,False,True,-1
65,True,3,0,10,61301,0,32,32,"Ziel angreifen 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
66,True,3,0,11,61302,0,32,32,"Ziel angreifen 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
67,True,3,0,12,61303,0,32,32,"Ziel angreifen 3",1,2,3,0,0,255,255,255,255,255,False,False,-1
68,True,3,0,13,61304,0,32,32,"Ziel angreifen 4",1,2,3,0,0,255,255,255,255,255,False,False,-1
69,True,3,0,14,61305,0,32,32,"Ziel angreifen 5",1,2,3,0,0,255,255,255,255,255,False,False,-1
70,True,3,0,18,61311,0,32,32,"Binden 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
71,True,3,0,19,61312,0,32,32,"Binden 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
72,True,3,0,20,61313,0,32,32,"Binden 3",1,2,3,0,0,255,255,255,255,255,False,False,-1
73,True,3,0,21,61321,0,32,32,"Ignorieren 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
74,True,3,0,22,61322,0,32,32,"Ignorieren 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
75,True,3,0,23,61331,0,32,32,"Quadrat",1,2,3,0,0,255,255,255,255,255,False,False,-1
76,True,3,0,24,61332,0,32,32,"Kreis",1,2,3,0,0,255,255,255,255,255,False,False,-1
77,True,3,0,25,61333,0,32,32,"Plus",1,2,3,0,0,255,255,255,255,255,False,False,-1
78,True,3,0,26,61334,0,32,32,"Dreieck",1,2,3,0,0,255,255,255,255,255,False,False,-1
79,True,3,0,27,61341,0,48,48,"Markierung A",1,2,3,0,0,255,255,255,255,255,False,False,-1
80,True,3,0,28,61342,0,48,48,"Markierung B",1,2,3,0,0,255,255,255,255,255,False,False,-1
81,True,3,0,29,61343,0,48,48,"Markierung C",1,2,3,0,0,255,255,255,255,255,False,False,-1
82,True,3,0,30,61347,0,48,48,"Markierung D",1,2,3,0,0,255,255,255,255,255,False,False,-1
83,True,3,0,31,61344,0,48,48,"Markierung 1",1,2,3,0,0,255,255,255,255,255,False,False,-1
84,True,3,0,32,61345,0,48,48,"Markierung 2",1,2,3,0,0,255,255,255,255,255,False,False,-1
85,True,3,0,33,61346,0,48,48,"Markierung 3",1,2,3,0,0,255,255,255,255,255,False,False,-1
86,True,3,0,34,61348,0,48,48,"Markierung 4",1,2,3,0,0,255,255,255,255,255,False,False,-1
87,True,4,0,2,240026,0,48,48,"Kreis",1,2,3,0,0,255,255,255,255,255,False,False,-1
88,True,4,0,3,240027,0,48,48,"X",1,2,3,0,0,255,255,255,255,255,False,False,-1
89,True,4,0,4,240028,0,48,48,"Dreieck",1,2,3,0,0,255,255,255,255,255,False,True,-1
90,True,4,0,5,240029,0,48,48,"Quadrat",1,2,3,0,0,255,255,255,255,255,False,False,-1
91,False,4,0,6,61334,0,128,128,"Leer",1,2,3,0,0,255,255,255,255,255,True,True,-1
92,False,4,0,7,61332,0,128,128,"Leer",1,2,3,0,0,255,255,255,255,255,True,True,-1
93,False,4,0,8,61331,0,128,128,"Leer",1,2,3,0,0,255,255,255,255,255,True,True,-1
94,True,4,0,9,240030,0,48,48,"Pfeil nach oben",1,2,3,0,0,255,255,255,255,255,False,True,-1
95,False,4,0,999,230307,0,128,128,"未使用",1,2,3,0,0,255,255,255,255,255,True,True,-1
96,False,4,0,999,230307,0,128,128,"未使用",1,2,3,0,0,255,255,255,255,255,True,True,-1
97,False,4,0,999,230307,0,128,128,"未使用",1,2,3,0,0,255,255,255,255,255,True,True,-1
98,False,4,0,15,230206,0,128,128,"未使用",1,2,3,0,0,255,255,255,255,255,True,True,-1
99,False,4,0,16,230207,0,128,128,"未使用",1,2,3,0,0,255,255,255,255,255,True,True,-1
100,True,4,0,1,240301,0,0,0,"Text",0,0,0,0,0,255,255,255,255,255,False,False,0
101,True,2,41,45,230944,0,32,32,"Viper",1,2,3,0,0,255,255,255,255,255,False,False,-1
102,True,2,42,63,230945,0,32,32,"Piktomant",1,2,3,0,0,255,255,255,255,255,False,False,-1
103,True,4,0,13,240031,0,48,48,"Rotation",1,2,3,0,0,255,255,255,255,255,True,True,-1
104,False,4,0,999,230307,0,128,128,"図形：矢印右回り",1,2,3,0,0,255,255,255,255,255,True,True,-1
105,True,5,0,0,240106,0,32,32,"Gruppe",1,2,3,0,0,255,255,255,255,255,False,False,-1
106,True,6,0,110,240203,0,128,128,"Stapel (Mehrfach-Treffer)",1,2,3,0,0,255,255,255,255,255,False,False,-1
107,True,6,0,111,240206,0,128,128,"Proximitätsangriff (Spielerfokus)",1,2,3,0,0,255,255,255,255,255,False,True,-1
108,True,6,0,112,240207,0,64,64,"Schwerer Angriff",1,2,3,0,0,255,255,255,255,255,False,False,-1
109,True,6,0,113,240208,0,256,256,"Kreisförmiger Rückstoß",1,2,3,0,0,255,255,255,255,255,False,False,-1
110,True,6,0,114,240209,0,256,256,"Geradliniger Rückstoß",1,2,3,9,10,255,255,255,255,255,False,True,-1
111,True,6,0,115,240210,0,64,64,"Turm",1,2,3,0,0,255,255,255,255,255,False,False,-1
112,True,6,0,116,240211,0,64,64,"Zielindikator",1,2,3,0,0,255,255,255,255,255,False,False,-1
113,True,3,0,6,240104,0,32,32,"Positiver Statuseffekt",1,2,3,0,0,255,255,255,255,255,True,True,-1
114,True,3,0,7,240105,0,32,32,"Negativer Statuseffekt",1,2,3,0,0,255,255,255,255,255,True,True,-1
115,True,3,0,15,61306,0,32,32,"Ziel angreifen 6",1,2,3,0,0,255,255,255,255,255,False,False,-1
116,True,3,0,16,61307,0,32,32,"Ziel angreifen 7",1,2,3,0,0,255,255,255,255,255,False,False,-1
117,True,3,0,17,61308,0,32,32,"Ziel angreifen 8",1,2,3,0,0,255,255,255,255,255,False,False,-1
118,True,2,0,14,230954,0,32,32,"Nahkampf-Angreifer",1,2,3,0,0,255,255,255,255,255,False,False,-1
119,True,2,0,15,230957,0,32,32,"Fernkampf-Angreifer",1,2,3,0,0,255,255,255,255,255,False,False,-1
120,True,2,0,16,230960,0,32,32,"Physischer Fernkampf-Angreifer",1,2,3,0,0,255,255,255,255,255,False,False,-1
121,True,2,0,17,230961,0,32,32,"Magischer Fernkampf-Angreifer",1,2,3,0,0,255,255,255,255,255,False,False,-1
122,True,2,0,7,230962,0,32,32,"Primär-Heiler",1,2,3,0,0,255,255,255,255,255,False,False,-1
123,True,2,0,8,230963,0,32,32,"Barriere-Heiler",1,2,3,0,0,255,255,255,255,255,False,False,-1
124,True,1,0,3,240007,0,256,256,"Grauer Kreis",1,2,3,0,0,255,255,255,255,255,False,False,-1
125,True,1,0,4,240008,0,256,256,"Graues Quadrat",1,2,3,0,0,255,255,255,255,255,False,False,-1
126,True,6,0,117,240213,0,128,128,"Kreisförmiger Flächenangriff (mobil)",1,2,3,0,0,255,255,255,255,255,False,True,-1
127,True,6,0,118,240214,0,64,64,"1-Personen-Fläche",1,2,3,0,0,255,255,255,255,255,False,False,-1
128,True,6,0,119,240215,0,64,64,"2-Personen-Fläche",1,2,3,0,0,255,255,255,255,255,False,False,-1
129,True,6,0,120,240216,0,64,64,"3-Personen-Fläche",1,2,3,0,0,255,255,255,255,255,False,False,-1
130,True,6,0,121,240217,0,64,64,"4-Personen-Fläche",1,2,3,0,0,255,255,255,255,255,False,False,-1
131,True,3,0,35,240032,0,48,48,"Rote Feststell-Markierung",1,2,3,0,0,255,255,255,255,255,False,False,-1
132,True,3,0,36,240033,0,48,48,"Blaue Feststell-Markierung",1,2,3,0,0,255,255,255,255,255,False,False,-1
133,True,3,0,37,240034,0,48,48,"Violette Feststell-Markierung",1,2,3,0,0,255,255,255,255,255,False,False,-1
134,True,3,0,38,240035,0,48,48,"Grüne Feststell-Markierung",1,2,3,0,0,255,255,255,255,255,False,False,-1
135,True,4,0,17,240036,0,48,48,"Hervorgehobener Kreis",1,2,3,0,0,255,255,255,255,255,False,False,-1
136,True,4,0,18,240037,0,48,48,"Hervorgehobenes X",1,2,3,0,0,255,255,255,255,255,False,False,-1
137,True,4,0,19,240038,0,48,48,"Hervorgehobenes Quadrat",1,2,3,0,0,255,255,255,255,255,False,False,-1
138,True,4,0,20,240039,0,48,48,"Hervorgehobenes Dreieck",1,2,3,0,0,255,255,255,255,255,False,False,-1
139,True,4,0,21,240040,0,48,48,"Im Uhrzeigersinn rotieren",1,2,3,0,0,255,255,255,255,255,False,False,-1
140,True,4,0,22,240041,0,48,48,"Gegen Uhrzeigersinn rotieren",1,2,3,0,0,255,255,255,255,255,False,False,-1
