key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
7,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du hast also einen Freibrief angenommen, den wir ausgeschrieben haben, ja? Worauf wartest du dann noch? Bring mir die Waren, die wir brauchen.","Na, geht doch! Genau, was wir wollten, und nicht mal schlechte Qualität. Dann danke ich dir im Namen von uns allen. ","Wo sind die bestellten Waren? Na? Ich sehe hier nichts, was auch nur annähernd so aussieht. Jetzt mach dich aber mal ernsthaft auf die Suche! ","0","0","0"
8,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Dich schickt die Aben<hex:02160103>teurer<hex:02160103>gilde? Na ja, mal sehen, was du drauf hast.","Fertig? Dann lass mich mal sehen ... Hm ... Ja ... Sieht gar nicht so schlecht aus, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. So kommst du mit dem Konsortium ins Geschäft.","Das Konsortium lässt keine Aufträge unerledigt. Wenn du nicht liefern kannst, frage ich jemand anders, der mir die gewünschte Waren im Hand<hex:02160103>umdrehen herstellt. Arbeitswillige Handwerker gibt es genug. Also?","Ich sehe, dass du dein Handwerk verstehst. Ich würde dir noch mehr davon abnehmen. Wie wär's?","Na gut, dann lass mal gut sein. Ich habe ja, was ich brauche.","Deine Arbeit gefällt mir, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Ich werde mir deinen Namen merken. Bis zum nächsten Mal!"
9,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Danke, dass du gekommen bist. Ich bin ja selbst keine ungeschickte Handwerkerin, aber manchmal ist es einfach rentabler, jemanden anzustellen.","Wirklich solide Arbeit. Heutzutage wird viel zu viel für die Müllhalden produziert ... Ich werde dich wieder beauftragen, wenn du Zeit und Lust hast.","Hast du etwa vergessen, um was ich dich gebeten hatte? Vielleicht hätte ich lieber einen anderen Handwerker beauftragen sollen ...","0","0","0"
10,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Besonders geschickt siehst du mir ja nicht aus, aber ich bezahl dich ja auch nicht fürs Aussehen. Hauptsache ist, du lieferst, was ich bestelle, dann können wir alle in Frieden unseren Geschäften nachgehen.","Ja, das entspricht meinen Vorstellungen. Wenn du weiter so gute Arbeit lieferst, werden wir gut zu<hex:02160103>sammen<hex:02160103>arbeiten.","Bist du immer noch nicht fertig? Dann spute dich mal ein bisschen!","0","0","0"
11,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Bist du <hex:020825E905FF11>die Handwerkerin<hex:FF0F>der Handwerker<hex:03>, <hex:02080DE905FF04>die<hex:FF04>den<hex:03> die Aben<hex:02160103>teurer<hex:02160103>gilde schickt? Ich bin H'rhanbolo, Kapitänin der <hex:021A020203>Eisprinzessin<hex:021A020103>, dem drittschnellsten Handelsschiff in ganz Limsa Lominsa.","Das nenne ich mal gute Arbeit! Willst du das karge Abenteurerleben nicht aufgeben und mit mir die Meere besegeln? Leute wie dich könnte ich gebrauchen.","Hast du Fragen zu dem Auftrag? Nicht? Dann brauche ich bestimmt nicht mehr lang auf die Lieferung zu warten. Oder etwa doch?","Potzblitz, das kann sich sehen lassen! Würdest du mir noch mehr davon herstellen?","Verstehe, du bist vielbeschäftigt. Ich kann leider nicht warten, weil ich bald ablege. Vielleicht ein anderes Mal!","Das lobe ich mir! Das ist genau der Arbeitsgeist, den ich auch von meinen Seeleuten erwarte. Du würdest dich auf der <hex:021A020203>Eisprinzessin<hex:021A020103> wirklich gut machen."
12,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Wo bleibst du denn? Ich warte schon eine Ewigkeit auf dich! Es gibt viel zu tun und Meister Gegeruju ist ein vielbeschäftigter Lalafell.","Bist du endlich fertig? Ich dachte schon, du hättest den Auftrag vergessen. Dann schieb mal rüber, was du hast.","Gut Ding will Weile haben, aber die Weile ist nun langsam rum ... Wird das noch was?","Moment, wohin des Wegs? Ich bin noch nicht fertig. Könntest du noch ein paar davon herstellen? Meister Gegeruju ist ein vorausschauender Lalafell, der einen soliden Vorrat zu schätzen weiß.","Nein? Ich weiß nicht, wie der Meister darauf reagieren wird ... Aber gut, es ist deine Entscheidung.","Sehr gut. Meister Gegeruju wird hocherfreut sein."
13,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Einen schönen guten <hex:020834E3E90C0DFF18><hex:020814E3E90C05FF06>Abend<hex:FF07>Morgen<hex:03><hex:FF15><hex:020811E3E90C12FF04>Tag<hex:FF06>Abend<hex:03><hex:03>! Bist du hier, um etwas anzuliefern oder abzuholen?","Eine Lieferung? Lad die Waren hier ab. Danke sehr und einen schönen Tag noch. Nächster!","Komm wieder, wenn du die bestellte Ware fertiggestellt hast. Nächster!","Das Ashgana-Überseedepartment würde den Auftrag gerne erweitern. Für ein entsprechendes Entgelt, versteht sich.","Vielleicht später? Wie du meinst. Nächster!","Das können wir gut gebrauchen. Danke sehr und einen schönen Tag noch."
14,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ich hoffe, du kennst dich aus in deinem Metier. Die Karawane stellt höchste Ansprüche.","Hm, kein Meisterstück, aber gut, es soll reichen. Hier, dein Lohn.","Was macht meine Bestellung? Die Handelskarawane kann es sich nicht leisten, auf tranige Handwerker Rücksicht zu nehmen. Leg dich ins Zeug!","0","0","0"
15,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Und? Hast du mir etwas mitgebracht oder bist du nur hier, um mich anzuglotzen?","Hm, sieht ja ganz ordentlich aus. Hier ist dein Geld.","Was macht meine Bestellung? Ich will ja nicht, dass du in der Eile irgendeinen Schund produzierst, aber so langsam solltest du fertig werden.","0","0","0"
16,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Wer bist du? Was machst du hier? Ach, du bist <hex:020825E905FF11>die Handwerkerin<hex:FF0F>der Handwerker<hex:03>, <hex:02080DE905FF04>die<hex:FF04>den<hex:03> diese Gilde geschickt hat. Wie hieß sie noch? Ich weiß, die Aben<hex:02160103>teurer<hex:02160103>gilde. Worum ging es noch mal? Ach ja, der Auftrag!","Was ist das? Das habe ich bei dir bestellt? Na gut, wenn du es sagst, wird es schon seine Richtigkeit haben. Danke!","Du bist noch nicht fertig? Du wirst ja wohl meine Bestellung nicht vergessen haben? Ein gutes Gedächtnis ist unentbehrlich für jeden Geschäftsmann. Also, gib mir die bestellte Ware. Ach, du bist noch nicht fertig? Du hast doch wohl meine Bestellung nicht vergessen? Ein gutes Gedächtnis ... Hm, ich glaube, ich hatte gerade ein Déjà vu. Seltsames Gefühl. Wovon hatten wir gesprochen?","Würdest du mir noch mehr davon herstellen? Nur für den Fall, dass ich etwas verlegen sollte. Das kommt aber nie vor. So gut wie nie. Eigentlich nur selten. Manchmal, wenn ich viel zu tun habe. Oder müde werde, am Nachmittag.","Nicht? Dann passe ich eben besonders gut auf. Auf den ... die ... Was war es noch gleich?","Sehr schön! Dann bestelle ich noch mehr von den ... die ... Du weißt schon!"
17,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"0","0","0","0","0","0"
18,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Die Gilde schickt dich?<hex:02100103>Ah, du hast meinen Auftrag angenommen? Der Weg durch die Kälte bis hierher muss dich ziemlich mitgenommen haben.","Das habe ich wirklich dringend gebraucht, um meine Geschäfte fortführen zu können. Wenn es nur nicht so kalt wäre ...","Bitte erledige meinen Auftrag so schnell du kannst. Sonst erfriere ich hier noch, während ich auf dich warte.","Eigentlich brauche ich eine noch größere Menge. Könntest du das über<hex:02160103>nehmen?","Da kann man erst mal nichts machen. Hauptsache, du hast den Auftrag wie gewünscht erledigt. In dieser Kälte kann man natürlich niemanden zu Überstunden zwingen.","Du hast mir sehr geholfen. Jetzt kann ich mir bald einen dicken Pelzmantel leisten. In dieser Kälte unverzichtbar."
19,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du bist also <hex:020825E905FF11>die Abenteurerin<hex:FF0F>der Abenteurer<hex:03>, <hex:02080DE905FF04>die<hex:FF04>der<hex:03> meinen Auftrag angenommen hat? Nun denn, so sei es ...","Eine beachtliche Leistung, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>! Damit lässt es sich arbeiten. Meine Entscheidung, die Aben<hex:02160103>teurer<hex:02160103>gilde damit zu beauftragen, war die richtige!","Über deinen Lohn habe ich mich bereits mit der Gilde geeinigt. Lass mich nicht zu lange auf die Gegenleistung warten.","Du hast feine Arbeit geleistet. Wärst du vielleicht an einer Erweiterung deines Auftrages interessiert? An der entsprechenden Vergütung soll es nicht scheitern.","Ich hätte erwarten müssen, dass <hex:020818E905FF0A>eine Frau<hex:FF09>ein Mann<hex:03> deines Schlages vielbeschäftigt ist. Nun denn, so sei es ...","Eine sehenswerte Leistung! Dir sei gedankt. "
20,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du hast also unseren Auftrag angenommen? Wir haben bereits auf dich gewartet, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>.","Alles wie gewünscht vorhanden. Im Namen der Sankt Coinach-Stiftung sei dir gedankt.","Hast du etwa deinen Auftrag vergessen? Beeile dich bitte, wir brauchen die angeforderten Güter dringend für unsere Forschungen.","Wir würden übrigens gerne noch mehr bestellen, falls du die Zeit dafür finden könntest.","Das ist bedauerlich. Auf bald!","Eine Meisterleistung! Im Namen der Sankt Coinach-Stiftung danke ich dir von ganzem Herzen."
21,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ha, du musst <hex:02081FE905FF0E>die Fischerin<hex:FF0C>der Fischer<hex:03> sein, auf <hex:02080DE905FF04>die<hex:FF04>den<hex:03> ich gewartet habe! Bitte enttäusche mich nicht.","Genau darauf hab ich gewartet! Damit werde ich jetzt was Feines brutzeln. Danke dir!","Was ist mit meiner Bestellung? Beißen sie heute nicht oder sind die Gewässer plötzlich ausgetrocknet?","Da du gerade hier bist ... hast du vielleicht Zeit für eine Nachbestellung?","Kein Problem, war nur eine Frage.","Herzlichen Dank! Jetzt hab ich sogar genug, um ein paar neue Rezepte auszuprobieren!"
22,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<hex:02081FE905FF0E>Die Fischerin<hex:FF0C>Der Fischer<hex:03>, <hex:02080DE905FF04>die<hex:FF04>den<hex:03> mir die Aben<hex:02160103>teurer<hex:02160103>gilde geschickt hat. Endlich! Hast du meine Bestellung mitgebracht?","Danke! Hoffentlich hast du nicht zu sehr daran rumgetatscht. ","Wie bitte? Ist dir dein Fang etwa zurück ins Meer geflutscht?","Auch wenn ich etwas Angst davor habe, dass du meine Bestellung zu sehr antatschst, hätte ich gerne noch mehr davon.","Gut, dann geh dir erst mal die Hände waschen.","Gut gemacht, ich kann keine Mängel an dem Fang erkennen!"
23,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du bist also <hex:02081FE905FF0E>die Fischerin<hex:FF0C>der Fischer<hex:03>, <hex:02080DE905FF04>die<hex:FF04>der<hex:03> sich meiner Bestellung angenommen hat? Zeig mal, was du hast. Ich bin schon total gespannt!","Wow, toll! Vielen, vielen Dank!","Ich hab Zeit, geh einfach fischen und komm wieder, wenn du so weit bist, ja?","Auf dich kann man sich verlassen. Hast du vielleicht Lust, mir noch mehr davon zu bringen?","Ach so. Na, ich bin immer hier zu finden, falls du mich suchst.","Wow! Du musst einer der Besten deiner Zunft sein! Dafür bekommst du eine tolle Belohnung! Danke vielmals!"
24,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Hallo, du musst <hex:02081FE905FF0E>die Fischerin<hex:FF0C>der Fischer<hex:03> sein, auf <hex:02080DE905FF04>die<hex:FF04>den<hex:03> ich gewartet habe. Hast du alles dabei?","Sehr schön! Wie bestellt. ","Äh, könntest du dich vielleicht ein bisschen beeilen?","Falls du Zeit hast, kannst du mir gerne noch mehr davon bringen ... Was meinst du?","Das ist ganz allein deine Entscheidung. Wie du möchtest ...","Das übertrifft meine kühnsten Erwartungen! Deine Belohnung hast du dir redlich verdient."
25,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Willkommen an der Sonnenküste, <hex:020817E905FF0A>Fischerin<hex:FF08>Fischer<hex:03>! Hast du den Auftrag erledigt?","Gegeruju wird begeistert sein! Hier, deine Belohnung.","Du hast noch nicht alles? Dann mal los zum Fischen!","Ich weiß, deine Zeit ist kostbar, aber könntest du mir vielleicht noch mehr davon bringen?","Ich habe verstanden. Weiterhin viel Erfolg, <hex:020817E905FF0A>Fischerin<hex:FF08>Fischer<hex:03>!","Ich bin dir sehr dankbar. Deine Belohnung wird entsprechend angepasst werden."
26,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Danke, dass du dich um den Auftrag gekümmert hast. Warst du erfolgreich?","Prachtvoll! Die Aben<hex:02160103>teurer<hex:02160103>gilde kann stolz auf dich sein! Hier ist deine Belohnung.","Was soll das heißen? Bitte beeile dich, ich drauche die Bestellung wirklich dringend!","Du hast doch sicher noch ein Weilchen Zeit, um noch mehr davon zu besorgen, oder?","Wie dir beliebt. Mich kannst du jederzeit hier finden.","Die Götter sollen dich beschützen! Danke für die Lieferung, hier ist deine Belohnung."
27,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Das sieht man gerne, <hex:020826E905FF12>eine Abenteurerin<hex:FF0F>ein Abenteurer<hex:03>, <hex:02080DE905FF04>die<hex:FF04>der<hex:03> der Kälte trotzt. Hast du meine Bestellung dabei?","Wunderbar. Ohne <hex:02081AE905FF0D>Fischerinnen<hex:FF08>Fischer<hex:03> wie dich wäre unsere Profession schon am Ende.","Hmm, da war ich wohl etwas zu voreilig. Die Kälte macht dir also doch zu schaffen. Gib dein Bestes, ich werde hier auf dich warten.","Deinem Fleiß gebührt Hochachtung! Bist du bereit, noch eine weitere Bestellung zu erledigen?","Die Kälte verwirrt deine Gedanken. Das passiert hier so manchem.","Es sei dir gedankt. Aber von Dank allein kann niemand leben, deshalb gibt es noch eine Belohnung obendrauf."
28,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du musst <hex:02081FE905FF0E>die Fischerin<hex:FF0C>der Fischer<hex:03> sein, auf <hex:02080DE905FF04>die<hex:FF04>den<hex:03> ich gewartet habe. Hast du den Auftrag ausgeführt?","Genau, wie ich es mir gewünscht habe. Vielen Dank. Mit dir hat deine Gilde einen Volltreffer gelandet.","Hast du etwa die ganze Zeit auf der faulen Haut gelegen? Beeil dich bitte.","Mit Leuten wie dir macht man gerne Geschäfte. Willst du mir noch mehr davon bringen?","Gut, es gibt auch noch andere, die ich fragen kann. ","Du bist <hex:02082AE905FF14>eine Lebensretterin<hex:FF11>ein Lebensretter<hex:03>. Vielen Dank. Ich hoffe, deine Belohnung stellt dich zufrieden."
29,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du bist <hex:020825E905FF11>die Handwerkerin<hex:FF0F>der Handwerker<hex:03>, <hex:02080DE905FF04>die<hex:FF04>der<hex:03> den Auftrag übernommen hat? Dann bitte ich doch sehr um eine zügige Bearbeitung!","Hervorragende Arbeit. Genau so habe ich es mir vorgestellt. Vielen Dank!","Bitte erledige den Auftrag so schnell wie möglich. Wir haben ihn ja über die Freibriefe ausgeschrieben, gerade weil wir so dringend Hilfe benötigen.","Hervorragende Arbeit. Genau so habe ich es mir vorgestellt. Kann ich dich vielleicht darum bitten, mir noch mehr davon zu bringen? Natürlich erhältst du einen Ausgleich dafür!","Verstehe. Als <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03> hast du natürlich genug um die Ohren. Falls du deine Meinung änderst, findest du mich hier!","Ich danke dir vielmals für deine Hilfe! Deine Belohnung habe ich natürlich nicht vergessen."
30,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du musst <hex:02081FE905FF0E>die Fischerin<hex:FF0C>der Fischer<hex:03> sein, <hex:02080DE905FF04>die<hex:FF04>der<hex:03> den Auftrag übernommen hat, ja? Hast du ihn schon ausgeführt?","Hervorragend! Vielen Dank! Du machst der Fischergilde alle Ehre.","Immer noch nicht? Langsam würde ich mir doch wünschen, dass du dich an den Auftrag machst ...","Wie sieht es aus? Kannst du mir vielleicht noch mehr davon besorgen?","Nein? Verstehe. Dann suche ich mir eben <hex:020831E905FF16>eine andere Fischerin<hex:FF16>einen anderen Fischer<hex:03>.","Vielen Dank! Das sollte erst einmal reichen. Und hier natürlich deine Belohnung!"
31,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Alles, was du wissen musst, steht in dem Freibrief, einschließlich der geforderten Menge und Qualität. Wenn du deine Arbeit vollrichtet hast, liefere die Waren bei mir ab und ich lasse sie zum Kunden liefern.","Du hast dich wirklich selbst übertroffen, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Der Kunde wird sicher begeistert sein.","Ich verstehe ja, dass da draußen noch andere Abenteuer auf <hex:02081AE905FF0A>eine Frau<hex:FF0B>einen Mann<hex:03> wie dich warten. Aber meine Kunden sind dringend auf die gewünschten Waren angewiesen. Für manche geht es sogar um ihre Existenz, vergiss das nicht.","Du hast dich selbst übertroffen, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Ich bin mir sicher, dass der Kunde sehr zufrieden sein wird. <hex:021A020203>Sehr<hex:021A020103> zufrieden. Stücke von dieser Qualität kann ich immer verkaufen. Würdest du noch mehr davon machen? Gegen ein entsprechendes Entgelt, versteht sich.","Ich verstehe. Du hast schon genug geleistet.","Ich danke dir, auch im Namen meines Kunden. Du hast dir die zusätzliche Vergütung redlich verdient."
32,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Sag, bist du <hex:02081FE905FF0E>die Fischerin<hex:FF0C>der Fischer<hex:03>, <hex:02080DE905FF04>die<hex:FF04>der<hex:03> bei den Erlassen helf'n will? Das lob ich mir! Wenn es mehr von deinem Schlag gäb', wär die Welt nicht halb so verrucht. Also, wenn du dein'n Fang gemacht hast, dann komm hier vorbei und wir besprech'n den Rest.","Jau, sieht alles gut aus. Und hier ist auch die versproch'ne Belohnung. Soll ja keiner umsonst arbeit'n.","Was ist? Kein Glück gehabt? Macht ja nichts, kann ja nicht immer alles glatt lauf'n. Komm wieder, wenn du dein'n Fang gemacht hast.","Jau, Llymlaen und Nophica mein'n es gut mit dir. Du hast mehr als genug gefang'n. Wenn du willst, nehm ich dir den Rest auch noch ab. Gegen bare Münze, versteht sich.","Dann eben nicht. 'S ist ja deine Entscheidung.","Du kannst was, soviel ist klar. Und schnell bist du auch. Vielleicht bist du <hex:02082BE905FF14>die beste Fischerin<hex:FF12>der beste Fischer<hex:03>, <hex:02080DE905FF04>die<hex:FF04>den<hex:03> ich je geseh'n habe. Doch, ich schwör's! <spuck> Leck auf, schwimm durch!"
33,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Hast du deine Arbeit erledigt? Ich nehme alles entgegen, was du für die Manufaktur herstellst.","Gut, alles wie bestellt. Die Gemeinschaft dankt.","Äh, und wo ist dein Meisterwerk? Du hast es doch nicht irgendwo liegen gelassen?","Gute Arbeit. Hör mal, was würdest du sagen, wenn ich dir noch mehr abnehmen möchte? Ich würde natürlich auch dafür bezahlen.","Na gut, vielleicht ein anderes Mal. Dann bleibt es also bei unserer Absprache.","Wirklich gute Arbeit. Auf dich ist Verlass. Hier ist deine Belohnung, wie versprochen."
34,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<schnüff> <schnüff> Du bist <hex:020817E905FF0A>Fischerin<hex:FF08>Fischer<hex:03>, nicht wahr? Wenn du einen Fang abgeben möchtest, bist du bei mir an der richtigen Stelle.","Das sieht doch lecker aus. Ich schick's direkt an die Küche. Aber zuerst gebe ich dir noch deine Belohnung.","Tja, kann es sein, dass du etwas an deinem Angelplatz liegen gelassen hast? Hier fehlt noch was.","Vielen Dank. Eigentlich ... bräuchten wir noch mehr davon. Was sagst du? Ich würde natürlich etwas drauflegen.","Du hast wohl auch noch andere Dinge zu erledigen, was? Einverstanden, vielleicht ein anderes Mal.","Das wäre dann alles, einschließlich der Nachbestellung. Hier, wie abgemacht habe ich die Belohnung erhöht."
35,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Hast du mitgebracht, wofür du beauftragt wurdest?<hex:02100103>Falls ja, kannst du es hier abgeben.","Das sieht großartig aus.<hex:02100103>Genau, was für die Lieferung gefordert wurde!","He, willst du mich veräppeln? Du musst schon was liefern, wenn du die Belohnung abgreifen willst.","0","0","0"
36,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du bist <hex:020817E905FF0A>Fischerin<hex:FF08>Fischer<hex:03>, nicht wahr? Wusste ich's doch! Man sieht es dir gleich an. Vergiss nicht deinen Fang bei mir abzugeben, wenn du was Gutes geangelt hast!","Was für ein Prachtexemplar!<hex:02100103>Sehr gut. Hier, deine Belohnung. Sollst ja nicht umsonst arbeiten.","Äh, hast du nicht irgendwas vergessen? Gewöhnlich mit Schuppen und Kiemen versehen und so?<hex:02100103>Ohne Fleiß kein Preis!","0","0","0"
