key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
19,12,"Ténacité","Influence les dégâts infligés et subis par les attaques physiques et magiques ainsi que les PV restaurés. Une valeur élevée augmente les dégâts infligés ainsi que les PV restaurés, et réduit les dégâts subis. Applicable uniquement aux classes/jobs de tanks.",24,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
20,13,"Attaque","Influence le montant de dégâts infligés par les attaques physiques.",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
21,14,"Défense","Influence le montant de dégâts reçus lorsqu'une attaque physique est subie. Une défense élevée permet de subir moins de dégâts.",5,0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,472,66,100,70,55,55,40,40,100,40,33,55,55,55,False
22,15,"Coups nets","Accroît les chances que les dégâts infligés par les attaques physiques et magiques soient augmentés. Une valeur élevée accroît la fréquence des coups nets. Si une action en inflige nécessairement un, les chances de coups nets augmentent les dégâts infligés.",23,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
23,16,"Esquive","",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
24,17,"Défense magique","Influence le montant de dégâts reçus lorsqu'une attaque magique est subie. Une défense magique élevée permet de subir moins de dégâts.",6,0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,472,33,100,55,55,55,70,70,100,70,66,55,55,55,False
25,-1,"Attaque critique","",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
26,-1,"Résilience","",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
27,18,"Critique","Augmente les dégâts infligés par les attaques physiques et magiques, ainsi que les PV restaurés. Une valeur élevée accroît la fréquence des critiques ainsi que la quantité de dégâts infligés ou de PV restaurés.",19,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
28,-1,"Esquive critique","",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
29,-1,"Résistance au tranchant","Réduit les dégâts reçus lorsqu'une attaque tranchante est subie.",43,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
30,-1,"Résistance au perforant","Réduit les dégâts reçus lorsqu'une attaque perforante est subie.",44,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
31,-1,"Résistance au contondant","Réduit les dégâts reçus lorsqu'une attaque contondante est subie.",45,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
32,-1,"Résistance aux projectiles","",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
33,19,"Magie offensive","Influence le montant des dégâts infligés par les attaques magiques.",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
34,20,"Magie curative","Influence le montant de PV restaurés avec les sorts curatifs.",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
35,-1,"Magie fortifiante","",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
36,21,"Bonus élémentaire","",36,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
37,-1,"Résistance au feu","Réduit les dégâts reçus lorsqu'une attaque de feu est subie.",37,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
38,-1,"Résistance à la glace","Réduit les dégâts reçus lorsqu'une attaque de glace est subie.",38,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
39,-1,"Résistance au vent","Réduit les dégâts reçus lorsqu'une attaque de vent est subie.",39,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
40,-1,"Résistance à la terre","Réduit les dégâts reçus lorsqu'une attaque de terre est subie.",40,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
41,-1,"Résistance à la foudre","Réduit les dégâts reçus lorsqu'une attaque de foudre est subie.",41,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
42,-1,"Résistance à l'eau","Réduit les dégâts reçus lorsqu'une attaque d'eau est subie.",42,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
43,-1,"Résistance magique","",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
44,22,"Détermination","Influence les dégâts infligés par les attaques physiques et magiques ainsi que le montant de PV restaurés par les sorts curatifs.",20,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
45,23,"Vivacité","Influence le temps de lancement et de recharge des techniques d'arme, et la puissance des attaques automatiques et des dégâts périodiques physiques. Une valeur élevée permet de réduire les temps de lancement et de recharge, et d'augmenter les dégâts périodiques et ceux des attaques automatiques.",21,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
46,24,"Célérité","Influence le temps de lancement et de recharge des sorts ainsi que les dégâts et effets curatifs périodiques de la magie. Une valeur élevée permet de réduire les temps de lancement et de recharge, et d'accroître les dégâts et effets curatifs périodiques.",22,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
47,25,"Hâte","",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,True
48,-1,"Moral","Remplace la défense et la défense magique pour déterminer les dégâts subis lors d'attaques venant d'autres joueurs. Détermine également les dégâts infligés aux autres joueurs.",73,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
49,-1,"Inimitié","",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
50,-1,"Réduction d'inimitié","",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
51,-1,"Augmentation de la compétence de recyclage","",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
52,-1,"Points d'expérience gagnés","",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
53,-1,"Récup","",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
54,-1,"Bonus spécial","",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
55,-1,"Bonus de base","",11,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
56,-1,"Bonus additionnels","",18,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,100,100,100,100,100,100,100,100,100,100,100,100,100,False
57,-1,"Résistance à Lenteur","Réduit la durée de l'effet Lenteur.",61,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
58,-1,"Résistance à Pétrification","",62,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
59,-1,"Résistance à Paralysie","",63,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
60,-1,"Résistance à Silence","Réduit la durée de l'effet Silence.",64,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
61,-1,"Résistance à Cécité","Réduit la durée de l'effet Cécité.",65,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
62,-1,"Résistance à Poison","Réduit la durée de l'effet Poison.",66,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
63,-1,"Résistance à Étourdissement","Réduit la durée de l'effet Étourdissement.",67,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
64,-1,"Résistance à Sommeil","Réduit la durée de l'effet Sommeil.",68,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
65,-1,"Résistance à Entrave","Réduit la durée de l'effet Entrave.",69,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
66,-1,"Résistance à Pesanteur","Réduit la durée de l'effet Pesanteur.",70,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
67,-1,"Résistance à Glas","",71,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,100,100,100,100,100,100,100,100,100,100,100,100,100,False
68,-1,"Résistance à l'usure","",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
69,-1,"Gain accru de symbiose","",56,100,20,80,80,80,80,80,80,80,80,80,80,120,60,160,320,0,160,400,240,240,160,160,100,100,100,100,100,100,100,100,100,100,100,100,100,False
70,26,"Habileté","Influence la progression réalisée lors d'un tour d'une synthèse.",30,350,350,20,300,20,20,20,20,20,20,20,30,350,350,320,360,0,40,380,340,340,320,320,100,100,100,100,100,100,100,100,100,100,100,100,100,False
71,27,"Contrôle","Influence la qualité réalisée lors d'un tour d'une synthèse.",31,200,200,120,120,120,100,120,120,30,30,30,40,200,200,200,400,0,200,500,300,300,240,240,100,100,100,100,100,100,100,100,100,100,100,100,100,False
72,28,"Collecte","Influence le taux auquel les objets sont récoltés.",33,350,200,20,200,150,0,100,10,10,10,10,10,350,350,210,460,0,110,470,450,310,350,300,100,100,100,100,100,100,100,100,100,100,100,100,100,False
73,29,"Savoir-faire","Augmente la quantité d'objets récoltés pour les botanistes et les mineurs, et la taille des prises pour les pêcheurs.",34,200,350,200,100,10,0,50,110,10,10,10,10,200,200,300,220,0,110,420,120,210,110,150,100,100,100,100,100,100,100,100,100,100,100,100,100,False
