key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,True,"Prison de vent","Évadez-vous<hex:021D0103>!"
10,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Lumière salvatrice","Faites appel au pouvoir de la Lumière qui vous habite<hex:021D0103>!"
11,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Lumière salvatrice","Faites appel au pouvoir de la Lumière qui vous habite<hex:021D0103>!"
12,3,60,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Duel d'armes","Appuyez de façon répétée pour repousser l'assaut<hex:021D0103>!"
13,3,25,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Duel d'armes","Appuyez de façon répétée pour repousser l'assaut<hex:021D0103>!"
14,5,15,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Détermination in<hex:02160103>é<hex:02160103>bran<hex:02160103>la<hex:02160103>ble","Appuyez de façon répétée pour briser vos chaînes<hex:021D0103>!"
15,2,15,15,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Résistance au venin","Luttez contre la douleur que vous inflige le venin et relevez-vous<hex:021D0103>!"
16,5,10,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"Rester conscient","Appuyez de façon répétée pour ne pas vous évanouir<hex:021D0103>!"
17,2,20,90,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"Combat à mort","Appuyez de façon répétée pour repousser l'assaut<hex:021D0103>!"
18,2,10,10,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"Pas des Manderville","Appuyez sur le bouton pour exécuter une action explosive<hex:021D0103>!"
19,2,28,10,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Échappée","Appuyez de façon répétée pour vous libérer<hex:021D0103>!"
20,5,3,25,15,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"Garde du corps","Appuyez de façon répétée pour protéger Clive<hex:021D0103>!"
21,5,3,25,15,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"Antagonisme","Appuyez de façon répétée pour repousser l'assaut<hex:021D0103>!"
22,5,10,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Duel d'armes","Appuyez de façon répétée pour repousser l'arme<hex:021D0103>!"
23,2,22,17,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Délivrance","Appuyez de façon répétée pour sauver Kuiyki<hex:021D0103>!"
24,2,20,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"Ténacité","Appuyez de façon répétée pour résister à l'attaque !"
25,0,0,0,0,0,0,"","","",False,False,False,False,"",""
