key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
7,"Challenge quotidien : Front","Front","","Cette option vous fait participer à la bataille du jour du Front (indiquée dans la rubrique in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions), avec un bonus de récompense en cas de réussite.<hex:02100103><hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).","Type de missions : Onsal Hakair (Danshig Naadam)",0,0,False,True,3,True,30,30,0,False,0,112083,0,0,50,20,1000,1000,1500,15,146,24,0,0,6,True,1,28,20,0,True,True,True,False,False,0,0,False,0,False,True,True,0,0
8,"Mission aléatoire : donjons supérieurs","Donjons supérieurs","","Cette option sélectionne aléatoirement une mission pour petite équipe parmi les donjons de niveau 100 que vous avez terminés, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons de niveau 100 pour petite équipe",5,0,False,True,2,False,100,100,705,False,0,112123,7,0,100,15,0,0,0,2,142,2,0,0,7,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
9,"Mission aléatoire : mentor","Mentor","","Cette option réservée aux personnages ayant acquis le statut de mentor de combat sélectionne aléatoirement une mission parmi celles que vous avez terminées et faisant l'objet de ce système, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* L'utilisation de queues de phénix est impossible au cours de certaines missions.","Type de missions : participation en tant que mentor possible",5,0,False,True,2,False,100,100,745,False,0,112144,8,0,30,10,0,0,0,10,142,1,0,0,8,True,1,0,30,120,True,True,True,False,False,2,0,False,0,False,True,True,0,0
10,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
11,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
12,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
13,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
14,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
15,"Mission aléatoire : raids en alliance","Raids en alliance","","Cette option sélectionne aléatoirement une mission parmi les raids en alliance (24 joueurs) auxquels vous avez accès, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.","Type de missions : raids en alliance",0,0,False,True,1,False,50,50,70,True,0,112259,9,120,120,50,0,0,0,8,142,5,0,0,9,True,1,0,120,0,True,False,True,False,False,2,0,False,0,False,True,True,0,0
16,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
17,"Mission aléatoire : raids normaux","Raids normaux","","Cette option sélectionne aléatoirement une mission parmi les raids normaux (8 joueurs) auxquels vous avez accès, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : raids normaux (8 joueurs)",1,0,False,True,1,False,60,60,170,False,0,112294,10,80,60,20,0,0,0,9,142,3,0,0,10,True,1,0,90,0,True,False,True,False,False,2,0,False,0,False,True,True,0,0
18,"Course de chocobos : Route de Sagolii","Route de Sagolii","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,False,0,112086,0,0,0,0,0,0,0,32,109,23,3,8,-1,True,19,26,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
19,"Course de chocobos : Costa del Sol","Costa del Sol","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,False,0,112084,0,0,0,0,0,0,0,33,109,23,3,8,-1,True,19,26,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
20,"Course de chocobos : Sentes tranquilles","Sentes tranquilles","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,False,0,112085,0,0,0,0,0,0,0,34,109,23,3,8,-1,True,19,26,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
21,"Course de chocobos : aléatoire","Aléatoire","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La course est sé<hex:02160103>lec<hex:02160103>tion<hex:02160103>née aléatoirement.<hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,31,109,23,3,8,-1,True,19,26,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
22,"Course de chocobos : Route de Sagolii (sans récompense)","Route de Sagolii (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.<hex:02100103>* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,False,0,112086,0,0,0,0,0,0,0,36,109,23,3,8,-1,True,19,27,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
23,"Course de chocobos : Costa del Sol (sans récompense)","Costa del Sol (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.<hex:02100103>* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,False,0,112084,0,0,0,0,0,0,0,37,109,23,3,8,-1,True,19,27,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
24,"Course de chocobos : Sentes tranquilles (sans récompense)","Sentes tranquilles (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.<hex:02100103>* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,False,0,112085,0,0,0,0,0,0,0,38,109,23,3,8,-1,True,19,27,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
25,"Course de chocobos : aléatoire (sans récompense)","Aléatoire (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<hex:021D0103>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<hex:021D0103>!<hex:02100103><hex:02100103>* La course est sé<hex:02160103>lec<hex:02160103>tion<hex:02160103>née aléatoirement.<hex:02100103>* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.<hex:02100103>* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants.<hex:02100103>* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.<hex:02100103>* Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.<hex:02100103>* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,35,109,23,3,8,-1,True,19,27,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
26,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,34,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
27,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,35,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
28,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,36,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
29,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,37,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
30,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,38,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
31,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,39,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
32,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,40,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
33,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,41,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
34,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,42,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
35,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,43,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
36,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,44,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
37,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,45,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
38,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,False,0,112295,0,0,0,0,0,0,0,46,109,23,3,8,-1,False,19,0,10,0,True,True,False,False,False,0,0,False,0,False,True,True,0,0
39,"","","","","",0,0,False,False,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,False,False,False,False,0,0,False,0,False,False,False,0,0
40,"Crystalline Conflict (partie non classée)","Partie non classée","","Crystalline Conflict, le nouveau scénario d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment militaire imaginé par l'Alliance éorzéenne, met en scène de petites escouades se livrant de féroces escarmouches. Il ne s'agit pas simplement de vaincre l'équipe adverse, mais d'acheminer une ressource clef unique, le cristal tactique, jusqu'à l'objectif<hex:021D0103>; le tout dans des décors variés, fruits d'un illusionnisme de haut vol. Aux armes, combattants, la victoire se trouve au bout du chemin<hex:021D0103>!","",0,0,False,True,3,True,30,30,0,False,0,112471,0,0,0,0,0,0,0,47,146,29,3,2,-1,True,6,43,5,0,False,False,False,False,False,0,40027,False,0,False,True,True,0,0
41,"Crystalline Conflict (partie classée)","Partie classée","","Crystalline Conflict, le nouveau scénario d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment militaire imaginé par l'Alliance éorzéenne, met en scène de petites escouades se livrant de féroces escarmouches. Il ne s'agit pas simplement de vaincre l'équipe adverse, mais d'acheminer une ressource clef unique, le cristal tactique, jusqu'à l'objectif<hex:021D0103>; le tout dans des décors variés, fruits d'un illusionnisme de haut vol. Aux armes, combattants, la victoire se trouve au bout du chemin<hex:021D0103>!<hex:02100103><hex:02100103>* Vos étoiles de victoire et vos points de cristal évolueront en fonction du résultat de la partie.<hex:02100103>* Vos adversaires seront sélectionnés parmi des joueurs d'échelon et de palier proches.<hex:02100103>* Les joueurs seront répartis en fonction de leur rôle, échelon, palier et points de cristal de façon à obtenir des équipes équilibrées.","",0,0,False,True,3,True,30,30,0,False,0,112472,0,0,0,0,0,0,0,48,146,29,3,1,-1,True,6,43,5,0,False,False,False,False,False,0,40030,False,0,False,True,False,1,1
