key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
13,7021042,0,False,0,20,30,62,39,3020,0,20,"ev_snipe_clic0f","","","",0,False,6949954,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,6949955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Observation de suspect","Surveillez les faits et gestes de<hex:02100103>l'Intrépide suspect pour remarquer<hex:02100103>tout com<hex:02160103>por<hex:02160103>te<hex:02160103>ment anormal<hex:021D0103>!","","Observer l'Intrépide suspect","","","","","","","","Observer",15,15
14,7021043,0,False,0,4,4,15,7,5800,1,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6875122,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Capture de mouton craintif","Visez le mouton perdu avec<hex:02100103>votre sarbacane pour l'endormir<hex:02100103>et le capturer<hex:021D0103>!","","Tirer sur le mouton perdu","","","","","","","","Tirer",35,26
15,7022105,0,False,0,4,5,13,3,7700,0,20,"ev_snipe_clic0f","","","",0,False,7022106,7022108,7022109,7022110,7022111,7022112,7022113,0,29,29,29,29,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,2000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Le trésor de Gegeruju","Regardez à travers la longue-vue pour découvrir ce que le seigneur de Costa del Sol a l'habitude d'observer<hex:021D0103>!","La session échoue si un élément inapproprié est observé.","Éléments observés","","","","","","","","Observer",15,15
16,7083179,0,False,0,15,15,15,15,9000,2,20,"ev_snipe1cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7083176,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Séduction bullée","Encouragez la timide raie rayée mâle et faites-lui souffler une bulle de la passion sur l'élue de son cœur<hex:021D0103>!","","Faire souffler une bulle de la passion sur la raie rayée femelle","","","","","","","","Faire souffler",15,15
17,7089186,0,False,0,4,2,8,13,2800,0,20,"ev_snipe_clic0f","","","",0,False,7108347,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,7089197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Point faible d'une thalassina","Examinez at<hex:02160103>ten<hex:02160103>ti<hex:02160103>ve<hex:02160103>ment la thalassina afin d'en découvrir le point faible<hex:021D0103>!","","Trouver le point faible","","","","","","","","Observer",20,14
18,7089199,0,False,0,5,1,7,9,2900,0,20,"ev_snipe_clic0f","","","",0,False,7109884,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,7089198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Point faible d'un phoebad","Examinez at<hex:02160103>ten<hex:02160103>ti<hex:02160103>ve<hex:02160103>ment le phoebad afin d'en découvrir le point faible<hex:021D0103>!","","Trouver le point faible","","","","","","","","Observer",20,14
19,7107673,0,False,0,6,8,4,30,7000,0,20,"ev_snipe_clic0f","","","",0,False,7107674,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marquage au barbillon","Scrutez les environs à la recherche d'un Namazu à l'air louche.","","Repérer le Namazu craintif","","","","","","","","Observer",35,26
20,7107679,0,False,0,6,8,10,3,8200,0,20,"ev_snipe_clic0f","","","",0,False,7107680,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marquage au barbillon","Scrutez les environs à la recherche d'un Namazu à l'air louche.","","Repérer le Namazu craintif","","","","","","","","Observer",35,26
21,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
22,7241979,0,False,0,17,7,24,22,300,2,20,"ev_snipe2cf","ev_snipe2_hit0f","ev_snipe2_hit0f","ev_snipe2_mis0f",0,True,7238920,7238921,7238923,7247105,0,0,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frappe chirurgicale","Abattez les dharas enragés qui menacent<hex:02100103>le campement en détruisant leur noyau<hex:021D0103>!","La session échoue si un dhara enragé parvient jusqu'au minerai.","Abattre les dharas enragés","","","","","","","","Tirer",35,35
23,7352833,0,False,0,3,29,18,118,2000,0,20,"ev_snipe_clic0f","","","",0,False,7359005,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"À la recherche du pirate vangaa","Ba'Gamnan se trouve quelque part au Phare de Ridorana... Trouvez-le<hex:021D0103>!","","Repérer Ba'Gamnan","","","","","","","","Observer",24,20
24,7400603,0,False,0,16,5,15,15,900,1,7,"ev_snipe3cf","ev_snipe_hit0f","ev_snipe_hit0f","ev_snipe_hit0f",0,False,7400606,7400611,7516452,0,0,0,0,0,38,39,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tir à l'arc cérémoniel","Faites une dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion de votre adresse en tirant avec un arc cérémoniel sur la cible tenue par Gyoshin.","La session échoue si Gyoshin est touché.","Tirer sur la cible","","","","","","","","Décocher une flèche",35,35
25,7453945,0,False,1,18,5,25,25,500,1,7,"ev_snipe3cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7453963,7453964,7453965,7453966,0,0,0,0,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tir à l'arc cérémoniel","Faites une dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion de votre adresse en tirant avec un arc cérémoniel sur la cible tenue par un Namazu.","","Tirer sur la cible","","","","","","","","Décocher une flèche",35,35
26,7941310,0,False,0,16,50,50,60,4000,0,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,8010875,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tir paralysant","Paralysez un cochon sauvage afin de récupérer une de ses défenses pour servir de matériau d'artisanat.","","Tirer sur le cochon","","","","","","","","Décocher une fléchette",35,35
27,7964390,0,False,0,15,10,30,30,0,0,7,"ev_snipe_clic0f","","","",0,False,7964369,7964370,7964371,7964372,7964344,0,0,0,42,43,44,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Primachat","Examinez tous les mets en vente<hex:02100103> dans la boutique de Rhon Ron<hex:021D0103>!","","Examiner un mets","","","","","","","","Examiner",35,35
28,7964462,0,False,1,15,5,45,45,1000,0,7,"ev_snipe_clic0f","","","",0,False,7964427,7964431,7964432,7964433,0,0,0,0,47,48,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"La tablette de l'Aurore","Trouvez l'ancienne tablette de pierre destinée à Y'shtola<hex:021D0103>!","","Trouver la tablette","","","","","","","","Examiner",35,26
29,7964494,0,False,0,18,2,70,85,1000,0,20,"ev_snipe_clic0f","","","",0,False,7964480,7964482,7964486,7964487,0,0,0,0,51,52,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Les fresques de Solide Serment","À la demande de Y'shtola, observez at<hex:02160103>ten<hex:02160103>ti<hex:02160103>ve<hex:02160103>ment toutes les fresques.","","Observer les fresques","","","","","","","","Observer",35,26
30,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
31,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
32,7981474,0,False,0,5,5,16,16,10200,0,7,"ev_snipe_clic0f","","","",0,False,7981478,7981479,0,0,0,0,0,0,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chasse au faux coursier","Retrouvez le jeune Mystel aux cheveux bleus qui a volé les fruits d'Alphinaud<hex:021D0103>!","","Repérer le Mystel aux cheveux bleus","","","","","","","","Observer",35,26
33,7981481,0,False,0,12,12,16,16,6500,0,7,"ev_snipe_clic0f","","","",0,False,7981482,7981483,0,0,0,0,0,0,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Guetter le guetteur","D'après Alisaie, un mystérieux individu serait venu vous espionner... Espionnez-le à votre tour.","","Repérer l'individu suspect","","","","","","","","Observer",35,26
34,7981428,0,False,0,5,40,25,25,1000,1,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7981491,7981429,7981433,0,0,0,0,0,70,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3000,3000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Le Thollminator (entraînement)","Tirez au lance-pierre sur le Nain ne portant pas le casque des Tholl<hex:021D0103>!","","Tirer sur le Nain ne portant pas le casque des Tholl","","","","","","","","Tirer",35,26
35,7981428,0,False,0,5,40,25,25,1000,1,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7981430,7981431,7981432,7981429,7981433,0,0,0,59,60,61,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,3000,3000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Le Thollminator","Tirez au lance-pierre sur le Nain ne portant pas le casque des Tholl<hex:021D0103>!","La session échoue si vous touchez un Nain portant le casque des Tholl.","Tirer sur le Nain ne portant pas le casque des Tholl","","","","","","","","Tirer",35,26
36,8035299,0,False,0,32,3,15,13,9200,0,7,"ev_snipe_clic0f","","","",0,False,8035302,8035305,8035306,0,0,0,0,0,71,73,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800,3000,4000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Les bâtiments de Baïne","Inspectez les bâtiments de Baïne à la recherche d'un élément distinctif.","","Repérer un élément distinctif","","","","","","","","Observer",35,26
37,7949226,30,False,0,10,3,30,30,2600,0,20,"ev_snipe_clic0f","","","",0,False,7981756,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,7981751,7981752,7981753,7981755,8052961,8052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Le jeu du télescope","Vous avez accepté de jouer avec la Pixie enjouée. Utilisez le télescope pour chercher et compter les Pixies.","","Compter les Pixies","","","","","","","","Observer",24,20
38,8049671,0,False,0,17,20,70,70,500,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,True,8049677,8049678,8049679,8049697,0,0,0,0,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Opération garde du corps","Envoyez les fléchettes magiques sur les ghilmans qui tentent d'attaquer le garde.","La session échoue si le garde est touché.","Abattre les ghilmans","","","","","","","","Tirer les fléchettes",35,35
